forks,stargazers_count,open_issues,size,owner_type,readme_size,num_contrib,commits,year
0,0,0,124,0,57,0,0,2013
1,1,0,1346,0,21,1,2,2013
0,0,0,3928,0,81,1,66,2013
1,0,0,648,0,0,1,4,2013
0,0,0,2500,0,0,1,2,2013
1,0,0,1136,0,1039,1,5,2013
3,1,0,47537,0,2957,1,11,2013
0,2,1,798912,1,1257,6,334,2013
0,0,1,455,0,59,1,1,2013
0,0,0,108,0,501,1,4,2013
0,0,0,3108,0,57,1,3,2013
1,0,0,162,1,70,2,11,2013
0,0,0,160,0,9220,1,22,2013
0,0,0,1912,0,49,1,6,2013
0,0,0,180,0,9208,1,7,2013
2,2,0,20258,0,903,1,17,2013
0,1,0,3252,0,15,0,0,2013
0,0,0,488,0,73,1,2,2013
0,0,0,148,0,64,1,2,2013
0,1,0,6828,0,905,1,17,2013
0,0,0,744,0,81,3,81,2013
1,0,0,188,0,88,1,6,2013
0,0,0,5460,1,2290,2,69,2013
1,0,0,204,0,217,2,17,2013
0,0,0,200,0,77,0,0,2013
0,0,0,1776,0,5928,1,84,2013
0,1,0,60296,0,2693,1,5,2013
0,0,6,512,0,1180,1,72,2013
1,2,0,274,0,12450,1,37,2013
0,0,0,316,0,0,1,9,2013
0,0,0,252,0,198,1,32,2013
0,0,0,6504,0,229,0,0,2013
0,0,0,184,0,0,0,0,2013
1,0,0,3348,0,1405,1,16,2013
0,1,0,1808,0,0,1,3,2013
0,0,0,160,0,93,1,2,2013
0,0,0,411684,0,3757,2,20,2013
0,1,0,324,0,286,2,3,2013
0,0,0,1576,0,220,1,122,2013
1,0,0,73034,0,17,1,1,2013
0,0,0,20904,0,0,1,2,2013
0,0,0,2216,0,131,1,24,2013
1,1,0,1298,0,2081,1,12,2013
0,0,0,446,0,0,2,12,2013
0,0,0,4076,1,0,1,567,2013
0,1,0,32394,0,23,2,167,2013
1,0,0,1641,0,209,1,2,2013
0,0,0,531212,1,744,2,8,2013
0,1,0,248,0,80,1,9,2013
0,1,3,844,0,1244,1,7,2013
1,0,0,604,0,6656,0,0,2013
1,0,0,3460,0,115,1,4,2013
0,0,0,1860,0,4284,1,129,2013
1,1,0,116,1,1389,1,2,2013
1,1,0,2628,0,214,3,136,2013
1,2,0,558,0,192,1,2,2013
0,0,0,172,0,178,1,10,2013
0,0,0,188,0,639,1,6,2013
0,0,0,257,0,95,0,0,2013
0,2,0,196,0,1210,1,7,2013
2,0,0,57180,1,1364,4,106,2013
0,0,0,6996,0,0,0,0,2013
